time, resource data (Actor State Value)*, resource workload, temporal data (Actor State Value)*, temporal workload, decision data (Actor State Value)*, decision workload
19,(ParentSearch TX_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch TX_MM [AUDIO_MM_PS_COMM])(ParentSearch TX_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch TX_MM [TERMINATE_SEARCH_EVENT])(ParentSearch TX_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch TX_MM [AUDIO_MM_PS_COMM])(ParentSearch TX_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch TX_MM [TERMINATE_SEARCH_EVENT])(ParentSearch TX_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch TX_MM [AUDIO_MM_PS_COMM])(ParentSearch TX_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch TX_MM [TERMINATE_SEARCH_EVENT])(ParentSearch TX_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch TX_MM [AUDIO_MM_PS_COMM])(ParentSearch TX_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch TX_MM [TERMINATE_SEARCH_EVENT]),16,(ParentSearch TX_MM [null]),10,(ParentSearch TX_MM [0]),1
28,(ParentSearch END_MM [NEW_SEARCH_AREA_EVENT])(ParentSearch END_MM [AUDIO_MM_PS_COMM])(ParentSearch END_MM [TARGET_DESCRIPTION_EVENT])(ParentSearch END_MM [TERMINATE_SEARCH_EVENT])(MissionManager RX_PS [AUDIO_PS_MM_COMM])(MissionManager RX_PS [AUDIO_PS_MM_COMM])(MissionManager RX_PS [AUDIO_PS_MM_COMM])(MissionManager RX_PS [AUDIO_PS_MM_COMM]),8,(ParentSearch END_MM [null])(MissionManager RX_PS [null]),2,(ParentSearch END_MM [0])(MissionManager RX_PS [0]),2
29,,0,(MissionManager IDLE [null]),1,(MissionManager IDLE [0]),1
30,,0,(MissionManager POKE_VO [null]),10,(MissionManager POKE_VO [0]),1
31,(MissionManager POKE_VO [AUDIO_VO_MM_COMM])(MissionManager POKE_VO [AUDIO_VO_MM_COMM])(MissionManager POKE_VO [AUDIO_VO_MM_COMM]),3,(MissionManager POKE_VO [null]),1,(MissionManager POKE_VO [0]),1
32,(MissionManager TX_VO [AUDIO_VO_MM_COMM])(MissionManager TX_VO [AUDIO_VO_MM_COMM]),2,(MissionManager TX_VO [null]),10,(MissionManager TX_VO [0]),1
42,(MissionManager END_VO [AUDIO_VO_MM_COMM]),1,(MissionManager END_VO [null]),1,(MissionManager END_VO [0]),1
43,,0,(MissionManager IDLE [null]),1,(MissionManager IDLE [0]),1
44,(Operator IDLE [VIDEO_UAV_OP_COMM])(Operator IDLE [AUDIO_MM_OP_COMM])(Operator IDLE [VIDEO_UAV_OP_COMM])(Operator IDLE [AUDIO_MM_OP_COMM])(Operator IDLE [VIDEO_UAV_OP_COMM])(Operator IDLE [AUDIO_MM_OP_COMM])(Operator IDLE [VIDEO_UAV_OP_COMM])(Operator IDLE [AUDIO_MM_OP_COMM])(Operator IDLE [VIDEO_UAV_OP_COMM])(Operator IDLE [AUDIO_MM_OP_COMM]),10,(Operator IDLE [null]),1,(Operator IDLE [0]),1
45,(MissionManager POKE_OP [AUDIO_OP_MM_COMM])(MissionManager POKE_OP [AUDIO_OP_MM_COMM]),2,(MissionManager POKE_OP [null]),1,(MissionManager POKE_OP [0]),1
46,(MissionManager TX_OP [AUDIO_OP_MM_COMM])(MissionManager TX_OP [AUDIO_OP_MM_COMM]),2,(MissionManager TX_OP [null]),10,(MissionManager TX_OP [0]),1
56,(MissionManager END_OP [AUDIO_OP_MM_COMM])(MissionManager END_OP [AUDIO_OP_MM_COMM])(Operator RX_MM [VIDEO_UAV_OP_COMM])(Operator RX_MM [AUDIO_MM_OP_COMM])(Operator RX_MM [VIDEO_UAV_OP_COMM])(Operator RX_MM [AUDIO_MM_OP_COMM])(Operator RX_MM [VIDEO_UAV_OP_COMM])(Operator RX_MM [AUDIO_MM_OP_COMM]),8,(MissionManager END_OP [null])(Operator RX_MM [null]),2,(MissionManager END_OP [0])(Operator RX_MM [0]),2
57,(Operator IDLE [VIDEO_UAV_OP_COMM])(Operator IDLE [VIDEO_UAV_OP_COMM])(Operator IDLE [VIDEO_UAV_OP_COMM])(Operator IDLE [VIDEO_UAV_OP_COMM])(Operator IDLE [VIDEO_UAV_OP_COMM]),5,(Operator IDLE [null]),1,(Operator IDLE [0]),1
59,(Operator LAUNCH_UAV [VIDEO_UAV_OP_COMM])(Operator LAUNCH_UAV [VIDEO_OGUI_OP_COMM]),2,(Operator LAUNCH_UAV [null]),1,(Operator LAUNCH_UAV [0]),1
60,(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_OGUI_OP_COMM])(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_OGUI_OP_COMM])(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_OGUI_OP_COMM])(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_OGUI_OP_COMM])(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_OGUI_OP_COMM])(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_OGUI_OP_COMM]),12,(Operator OBSERVE_GUI [null]),1,(Operator OBSERVE_GUI [0]),1
61,(Operator POKE_OGUI [VIDEO_UAV_OP_COMM])(Operator POKE_OGUI [VIDEO_OGUI_OP_COMM]),2,(Operator POKE_OGUI [null]),1,(Operator POKE_OGUI [0]),1
62,(Operator TX_OGUI [VIDEO_UAV_OP_COMM])(Operator TX_OGUI [VIDEO_OGUI_OP_COMM])(Operator TX_OGUI [VIDEO_UAV_OP_COMM])(Operator TX_OGUI [VIDEO_OGUI_OP_COMM])(Operator TX_OGUI [VIDEO_UAV_OP_COMM])(Operator TX_OGUI [VIDEO_OGUI_OP_COMM]),6,(Operator TX_OGUI [null]),10,(Operator TX_OGUI [0]),1
72,(Operator END_OGUI [VIDEO_UAV_OP_COMM])(Operator END_OGUI [VIDEO_OGUI_OP_COMM]),2,(Operator END_OGUI [null]),1,(Operator END_OGUI [0]),1
73,(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_OGUI_OP_COMM])(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_OGUI_OP_COMM])(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_OGUI_OP_COMM])(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_OGUI_OP_COMM])(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_OGUI_OP_COMM])(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_OGUI_OP_COMM]),12,(Operator OBSERVE_GUI [null]),10,(Operator OBSERVE_GUI [0]),1
83,(Operator OBSERVE_UAV [VIDEO_UAV_OP_COMM])(Operator OBSERVE_UAV [VIDEO_OGUI_OP_COMM])(Operator OBSERVE_UAV [VIDEO_UAV_OP_COMM])(Operator OBSERVE_UAV [VIDEO_OGUI_OP_COMM])(Operator OBSERVE_UAV [VIDEO_UAV_OP_COMM])(Operator OBSERVE_UAV [VIDEO_OGUI_OP_COMM])(Operator OBSERVE_UAV [VIDEO_UAV_OP_COMM])(Operator OBSERVE_UAV [VIDEO_OGUI_OP_COMM]),8,(Operator OBSERVE_UAV [null]),10,(Operator OBSERVE_UAV [0]),1
90,(Operator OBSERVE_UAV [VIDEO_OGUI_OP_COMM])(Operator OBSERVE_UAV [VIDEO_OGUI_OP_COMM])(Operator OBSERVE_UAV [VIDEO_OGUI_OP_COMM])(Operator OBSERVE_UAV [VIDEO_OGUI_OP_COMM]),4,(Operator OBSERVE_UAV [null]),10,(Operator OBSERVE_UAV [0]),1
93,(Operator OBSERVE_GUI [VIDEO_OGUI_OP_COMM])(Operator OBSERVE_GUI [VIDEO_OGUI_OP_COMM])(Operator OBSERVE_GUI [VIDEO_OGUI_OP_COMM])(Operator OBSERVE_GUI [VIDEO_OGUI_OP_COMM])(Operator OBSERVE_GUI [VIDEO_OGUI_OP_COMM])(Operator OBSERVE_GUI [VIDEO_OGUI_OP_COMM]),6,(Operator OBSERVE_GUI [null]),10,(Operator OBSERVE_GUI [0]),1
100,(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM]),6,(Operator OBSERVE_GUI [null]),10,(Operator OBSERVE_GUI [0]),1
101,(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM])(Operator OBSERVE_GUI [VIDEO_UAV_OP_COMM]),6,(Operator OBSERVE_GUI [null]),10,(Operator OBSERVE_GUI [0]),1
103,(Operator OBSERVE_UAV [VIDEO_UAV_OP_COMM])(Operator OBSERVE_UAV [VIDEO_UAV_OP_COMM])(Operator OBSERVE_UAV [VIDEO_UAV_OP_COMM])(Operator OBSERVE_UAV [VIDEO_UAV_OP_COMM]),4,(Operator OBSERVE_UAV [null]),1,(Operator OBSERVE_UAV [0]),1
104,(MissionManager IDLE [AUDIO_OP_MM_COMM])(MissionManager IDLE [AUDIO_OP_MM_COMM])(MissionManager IDLE [AUDIO_OP_MM_COMM])(MissionManager IDLE [AUDIO_OP_MM_COMM])(MissionManager IDLE [AUDIO_OP_MM_COMM])(MissionManager IDLE [AUDIO_OP_MM_COMM])(MissionManager IDLE [AUDIO_OP_MM_COMM])(MissionManager IDLE [AUDIO_OP_MM_COMM])(MissionManager IDLE [AUDIO_OP_MM_COMM])(MissionManager IDLE [AUDIO_OP_MM_COMM])(MissionManager IDLE [AUDIO_OP_MM_COMM])(MissionManager IDLE [AUDIO_OP_MM_COMM])(MissionManager IDLE [AUDIO_OP_MM_COMM])(MissionManager IDLE [AUDIO_OP_MM_COMM])(MissionManager IDLE [AUDIO_OP_MM_COMM])(MissionManager IDLE [AUDIO_OP_MM_COMM])(MissionManager IDLE [AUDIO_OP_MM_COMM]),17,(MissionManager IDLE [null]),1,(MissionManager IDLE [0]),1
105,(Operator POKE_MM [VIDEO_UAV_OP_COMM])(Operator POKE_MM [AUDIO_MM_OP_COMM]),2,(Operator POKE_MM [null]),1,(Operator POKE_MM [0]),1
106,(Operator TX_MM [VIDEO_UAV_OP_COMM])(Operator TX_MM [AUDIO_MM_OP_COMM])(Operator TX_MM [VIDEO_UAV_OP_COMM])(Operator TX_MM [AUDIO_MM_OP_COMM]),4,(Operator TX_MM [null]),10,(Operator TX_MM [0]),1
116,(MissionManager RX_OP [AUDIO_OP_MM_COMM])(MissionManager RX_OP [AUDIO_OP_MM_COMM])(Operator END_MM [VIDEO_UAV_OP_COMM])(Operator END_MM [AUDIO_MM_OP_COMM]),4,(MissionManager RX_OP [null])(Operator END_MM [null]),2,(MissionManager RX_OP [0])(Operator END_MM [0]),2
117,,0,(MissionManager IDLE [null]),1,(MissionManager IDLE [0]),1
118,(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [AUDIO_MM_PS_COMM])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [AUDIO_MM_PS_COMM])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [AUDIO_MM_PS_COMM])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [AUDIO_MM_PS_COMM])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [AUDIO_MM_PS_COMM])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [AUDIO_MM_PS_COMM])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [AUDIO_MM_PS_COMM])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT])(ParentSearch IDLE [NEW_SEARCH_AREA_EVENT])(ParentSearch IDLE [AUDIO_MM_PS_COMM])(ParentSearch IDLE [TARGET_DESCRIPTION_EVENT])(ParentSearch IDLE [TERMINATE_SEARCH_EVENT]),32,(ParentSearch IDLE [null]),1,(ParentSearch IDLE [0]),1
119,(MissionManager POKE_PS [AUDIO_PS_MM_COMM])(MissionManager POKE_PS [AUDIO_PS_MM_COMM]),2,(MissionManager POKE_PS [null]),1,(MissionManager POKE_PS [0]),1
120,(MissionManager TX_PS [AUDIO_PS_MM_COMM])(MissionManager TX_PS [AUDIO_PS_MM_COMM])(MissionManager TX_PS [AUDIO_PS_MM_COMM])(MissionManager TX_PS [AUDIO_PS_MM_COMM])(MissionManager TX_PS [AUDIO_PS_MM_COMM]),5,(MissionManager TX_PS [null]),10,(MissionManager TX_PS [0]),1
