time, resource data (Actor State [ActiveInput])*, resource workload, temporal data (Actor State [NumberOfEnabledTransitions])*, temporal workload, decision data (Actor State [TransitionDuration])*, decision workload, TaskStarts, TaskStops
19,(ParentSearch TX_MM [false])(ParentSearch TX_MM [MM_ACK_PS])(ParentSearch TX_MM [false])(ParentSearch TX_MM [false])(Operator IDLE [UAV_LANDED_OP])(Operator IDLE [MM_END_OP]),6,(ParentSearch TX_MM [10]),10,(ParentSearch TX_MM [2]),2,,([OP_STOP_LISTEN_TO_MM_OP])
28,(ParentSearch END_MM [false])(ParentSearch END_MM [MM_ACK_PS])(ParentSearch END_MM [false])(ParentSearch END_MM [false])(MissionManager RX_PS [PS_TARGET_DESCRIPTION_MM])(Operator IDLE [UAV_LANDED_OP])(Operator IDLE [MM_END_OP]),7,(ParentSearch END_MM [1])(MissionManager RX_PS [1]),2,(ParentSearch END_MM [1])(MissionManager RX_PS [1]),2,,([PS_STOP_TRANSMIT_TARGET_DESCRIPTION_PS])
29,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_LANDED_OP]),4,(MissionManager IDLE [1]),1,(MissionManager IDLE [2]),2,([MM_STOP_LISTEN_TO_PS_MM__MM_START_TRANSMIT_TARGET_DESCRIPTION_MM]),([MM_STOP_LISTEN_TO_PS_MM__MM_START_TRANSMIT_TARGET_DESCRIPTION_MM])
30,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_LANDED_OP]),4,(MissionManager POKE_VO [10]),10,(MissionManager POKE_VO [1]),1,,
31,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager POKE_VO [VO_ACK_MM])(Operator IDLE [UAV_LANDED_OP]),5,(MissionManager POKE_VO [1]),1,(MissionManager POKE_VO [2]),2,,
32,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager TX_VO [VO_ACK_MM])(Operator IDLE [UAV_LANDED_OP]),5,(MissionManager TX_VO [50]),50,(MissionManager TX_VO [1]),1,,
82,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager END_VO [VO_ACK_MM])(Operator IDLE [UAV_LANDED_OP]),5,(MissionManager END_VO [1]),1,(MissionManager END_VO [1]),1,,([MM_STOP_TRANSMIT_TARGET_DESCRIPTION_MM])
83,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_LANDED_OP]),4,(MissionManager IDLE [1]),1,(MissionManager IDLE [1]),1,,
84,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_LANDED_OP])(Operator IDLE [MM_POKE_OP]),5,(Operator IDLE [1]),1,(Operator IDLE [1]),1,,
85,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager POKE_OP [OP_ACK_MM])(Operator RX_MM [UAV_LANDED_OP])(Operator RX_MM [MM_POKE_OP]),6,(MissionManager POKE_OP [1]),1,(MissionManager POKE_OP [1]),1,([OP_START_LISTEN_TO_MM_OP]),
86,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager TX_OP [OP_ACK_MM])(Operator RX_MM [UAV_LANDED_OP]),5,(MissionManager TX_OP [10]),10,(MissionManager TX_OP [1]),1,,
96,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager END_OP [OP_ACK_MM])(Operator RX_MM [UAV_LANDED_OP])(Operator RX_MM [MM_NEW_SEARCH_AOI_OP]),6,(MissionManager END_OP [1])(Operator RX_MM [1]),2,(MissionManager END_OP [1])(Operator RX_MM [1]),2,,([MM_STOP_TRANSMIT_AOI_MM])
97,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_LANDED_OP]),4,(Operator IDLE [1]),1,(Operator IDLE [1]),1,([OP_STOP_LISTEN_TO_MM_OP__OP_START_SET_AOI_OP]),([OP_STOP_LISTEN_TO_MM_OP__OP_START_SET_AOI_OP])
98,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator LAUNCH_UAV [UAV_LANDED_OP]),4,,0,,0,([OP_START_LAUNCH_OP]),
99,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator LAUNCH_UAV [UAV_FLYING_OP])(Operator LAUNCH_UAV [OGUI_FLYING_NORMAL_OP]),5,(Operator LAUNCH_UAV [1]),1,(Operator LAUNCH_UAV [1]),1,,
100,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FLYING_NORMAL_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [2]),2,,([OP_STOP_LAUNCH_OP])
101,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FLYING_NORMAL_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [2]),2,,
102,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator POKE_OGUI [UAV_FLYING_OP])(Operator POKE_OGUI [OGUI_FLYING_NORMAL_OP]),5,(Operator POKE_OGUI [1]),1,(Operator POKE_OGUI [1]),1,,
103,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager IDLE [VO_POKE_MM])(Operator POKE_OGUI [UAV_FLYING_OP])(Operator POKE_OGUI [OGUI_FLYING_NORMAL_OP]),6,(MissionManager IDLE [1])(Operator POKE_OGUI [1]),2,(MissionManager IDLE [1])(Operator POKE_OGUI [1]),2,,
104,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager IDLE [VO_POKE_MM])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),6,(MissionManager IDLE [1])(Operator TX_OGUI [50]),51,(MissionManager IDLE [1])(Operator TX_OGUI [1]),2,,
105,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager RX_VO [VO_POKE_MM])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),6,(Operator TX_OGUI [50]),50,(Operator TX_OGUI [1]),1,([MM_START_LISTEN_TO_VO_MM]),
106,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager RX_VO [VO_TARGET_SIGHTED_T_MM])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),6,(MissionManager RX_VO [1])(Operator TX_OGUI [50]),51,(MissionManager RX_VO [1])(Operator TX_OGUI [1]),2,,
107,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager IDLE [VO_TARGET_SIGHTED_T_MM])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),6,(MissionManager IDLE [1])(Operator TX_OGUI [50]),51,(MissionManager IDLE [2])(Operator TX_OGUI [1]),3,([MM_STOP_LISTEN_TO_VO_MM__MM_START_TRANSMIT_TARGET_SIGHTED_T_MM]),([MM_STOP_LISTEN_TO_VO_MM__MM_START_TRANSMIT_TARGET_SIGHTED_T_MM])
108,(ParentSearch IDLE [false])(ParentSearch IDLE [MM_POKE_PS])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager POKE_PS [VO_TARGET_SIGHTED_T_MM])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),7,(ParentSearch IDLE [1])(Operator TX_OGUI [50]),51,(ParentSearch IDLE [1])(Operator TX_OGUI [1]),2,,
109,(ParentSearch IDLE [false])(ParentSearch IDLE [MM_POKE_PS])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),6,(ParentSearch IDLE [1])(Operator TX_OGUI [50]),51,(ParentSearch IDLE [1])(Operator TX_OGUI [1]),2,,
110,(ParentSearch RX_MM [false])(ParentSearch RX_MM [MM_POKE_PS])(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(MissionManager POKE_PS [PS_ACK_MM])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),7,(MissionManager POKE_PS [1])(Operator TX_OGUI [50]),51,(MissionManager POKE_PS [1])(Operator TX_OGUI [1]),2,([PS_START_LISTEN_TO_MM_PS]),
111,(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(MissionManager TX_PS [PS_ACK_MM])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),6,(MissionManager TX_PS [10])(Operator TX_OGUI [50]),60,(MissionManager TX_PS [2])(Operator TX_OGUI [1]),3,,
121,(ParentSearch RX_MM [false])(ParentSearch RX_MM [MM_TARGET_SIGHTED_T_PS])(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(MissionManager END_PS [PS_ACK_MM])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),7,(ParentSearch RX_MM [1])(MissionManager END_PS [1])(Operator TX_OGUI [50]),52,(ParentSearch RX_MM [1])(MissionManager END_PS [1])(Operator TX_OGUI [1]),3,,([MM_STOP_TRANSMIT_TARGET_SIGHTED_T_MM])
122,(ParentSearch IDLE [false])(ParentSearch IDLE [MM_TARGET_SIGHTED_T_PS])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),6,(MissionManager END_PS [1])(Operator TX_OGUI [50]),51,(MissionManager END_PS [1])(Operator TX_OGUI [1]),2,,([PS_STOP_LISTEN_TO_MM_PS])
123,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),5,(Operator TX_OGUI [50]),50,(Operator TX_OGUI [1]),1,,
158,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator END_OGUI [UAV_FLYING_OP])(Operator END_OGUI [OGUI_FLYING_NORMAL_OP]),5,(Operator END_OGUI [1]),1,(Operator END_OGUI [1]),1,([OP_STOP_SET_AOI_OP__OP_START_SEARCH_OP]),([OP_STOP_SET_AOI_OP__OP_START_SEARCH_OP])
159,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FLYING_NORMAL_OP]),5,(Operator OBSERVE_GUI [10]),10,(Operator OBSERVE_GUI [1]),1,,
160,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP]),4,(Operator OBSERVE_GUI [10]),10,(Operator OBSERVE_GUI [1]),1,,
161,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP]),4,(Operator OBSERVE_GUI [10]),10,(Operator OBSERVE_GUI [1]),1,,
162,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [10]),10,(Operator OBSERVE_GUI [1]),1,,
170,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
180,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [10]),10,(Operator OBSERVE_GUI [1]),1,,
190,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
200,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [10]),10,(Operator OBSERVE_GUI [1]),1,,
210,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
220,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [10]),10,(Operator OBSERVE_GUI [1]),1,,
230,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
240,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [10]),10,(Operator OBSERVE_GUI [1]),1,,
250,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
260,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [10]),10,(Operator OBSERVE_GUI [1]),1,,
270,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
280,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [10]),10,(Operator OBSERVE_GUI [1]),1,,
290,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
300,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [10]),10,(Operator OBSERVE_GUI [1]),1,,
310,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
320,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [10]),10,(Operator OBSERVE_GUI [1]),1,,
330,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
340,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [10]),10,(Operator OBSERVE_GUI [1]),1,,
350,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
360,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [10]),10,(Operator OBSERVE_GUI [1]),1,,
370,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [10]),10,(Operator OBSERVE_GUI [1]),1,,
371,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [10]),10,(Operator OBSERVE_GUI [1]),1,,
372,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_PATH_COMPLETE_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [2]),2,,
373,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager IDLE [OP_POKE_MM])(Operator POKE_MM [UAV_FLYING_OP])(Operator POKE_MM [OGUI_PATH_COMPLETE_OP]),6,(MissionManager IDLE [1]),1,(MissionManager IDLE [1]),1,([OP_STOP_SEARCH_OP__OP_START_TRANSMIT_SEARCH_COMPLETE_OP]),([OP_STOP_SEARCH_OP__OP_START_TRANSMIT_SEARCH_COMPLETE_OP])
374,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager RX_OP [OP_POKE_MM])(Operator POKE_MM [UAV_FLYING_OP])(Operator POKE_MM [OGUI_PATH_COMPLETE_OP])(Operator POKE_MM [MM_ACK_OP]),7,(Operator POKE_MM [1]),1,(Operator POKE_MM [1]),1,([MM_START_LISTEN_TO_OP_MM]),
375,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_MM [UAV_FLYING_OP])(Operator TX_MM [OGUI_PATH_COMPLETE_OP])(Operator TX_MM [MM_ACK_OP]),6,(Operator TX_MM [10]),10,(Operator TX_MM [1]),1,,
385,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager RX_OP [OP_SEARCH_COMPLETE_MM])(Operator END_MM [UAV_FLYING_OP])(Operator END_MM [OGUI_PATH_COMPLETE_OP])(Operator END_MM [MM_ACK_OP]),7,(MissionManager RX_OP [1])(Operator END_MM [1]),2,(MissionManager RX_OP [1])(Operator END_MM [1]),2,,([OP_STOP_TRANSMIT_SEARCH_COMPLETE_OP])
386,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager IDLE [OP_SEARCH_COMPLETE_MM])(Operator END_MM [UAV_FLYING_OP])(Operator END_MM [OGUI_PATH_COMPLETE_OP]),6,(MissionManager IDLE [1])(Operator END_MM [1]),2,(MissionManager IDLE [1])(Operator END_MM [1]),2,([MM_STOP_LISTEN_TO_OP_MM__MM_START_TRANSMIT_SEARCH_COMPLETE_MM]),([MM_STOP_LISTEN_TO_OP_MM__MM_START_TRANSMIT_SEARCH_COMPLETE_MM])
387,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_FLYING_OP])(Operator IDLE [OGUI_PATH_COMPLETE_OP]),5,(MissionManager IDLE [1]),1,(MissionManager IDLE [1]),1,,
388,(ParentSearch IDLE [false])(ParentSearch IDLE [MM_POKE_PS])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_FLYING_OP])(Operator IDLE [OGUI_PATH_COMPLETE_OP]),6,(ParentSearch IDLE [1]),1,(ParentSearch IDLE [1]),1,,
389,(ParentSearch RX_MM [false])(ParentSearch RX_MM [MM_POKE_PS])(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(MissionManager POKE_PS [PS_ACK_MM])(Operator IDLE [UAV_FLYING_OP])(Operator IDLE [OGUI_PATH_COMPLETE_OP]),7,(MissionManager POKE_PS [1]),1,(MissionManager POKE_PS [1]),1,([PS_START_LISTEN_TO_MM_PS]),
390,(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(MissionManager TX_PS [PS_ACK_MM])(Operator IDLE [UAV_FLYING_OP])(Operator IDLE [OGUI_PATH_COMPLETE_OP]),6,(MissionManager TX_PS [10]),10,(MissionManager TX_PS [2]),2,,
400,(ParentSearch RX_MM [false])(ParentSearch RX_MM [MM_SEARCH_COMPLETE_PS])(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(MissionManager END_PS [PS_ACK_MM])(Operator IDLE [UAV_FLYING_OP])(Operator IDLE [OGUI_PATH_COMPLETE_OP]),7,(ParentSearch RX_MM [1])(MissionManager END_PS [1]),2,(ParentSearch RX_MM [1])(MissionManager END_PS [1]),2,,([MM_STOP_TRANSMIT_SEARCH_COMPLETE_MM__MM_STOP_SEARCH_MM])
401,(ParentSearch IDLE [false])(ParentSearch IDLE [MM_SEARCH_COMPLETE_PS])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_FLYING_OP])(Operator IDLE [OGUI_PATH_COMPLETE_OP]),6,(MissionManager END_PS [1]),1,(MissionManager END_PS [1]),1,,([PS_STOP_LISTEN_TO_MM_PS])
402,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_FLYING_OP])(Operator IDLE [OGUI_PATH_COMPLETE_OP]),5,,0,,0,,
533,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_FLYING_OP])(Operator IDLE [OGUI_PATH_COMPLETE_OP]),5,,0,,0,,
534,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_FLYING_OP])(Operator IDLE [OGUI_BATTERY_LOW_OP]),5,,0,,0,,
